Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
2963;21101107951;"Comprehensive Psychoneuroendocrinology";journal;"26664976";0,636;Q2;10;41;138;2347;280;132;2,07;57,24;61,34;0;7;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2023";"Psychiatry and Mental Health (Q2); Psychology (miscellaneous) (Q2); Biological Psychiatry (Q3); Endocrine and Autonomic Systems (Q3); Endocrinology, Diabetes and Metabolism (Q3); Immunology (Q3); Neurology (clinical) (Q3)";"Immunology and Microbiology; Medicine; Neuroscience; Psychology"
2964;21100446418;"Contemporary Clinical Trials Communications";journal;"24518654";0,636;Q2;26;176;511;7402;849;507;1,52;42,06;55,37;0;77;United States;Northern America;"Elsevier Inc.";"2015-2023";"Medicine (miscellaneous) (Q2); Pharmacology (Q2)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
2965;19700177504;"Diabetology International";journal;"21901686, 21901678";0,636;Q2;24;66;182;2385;373;176;1,65;36,14;32,66;1;51;Japan;Asiatic Region;"Springer Japan";"2010-2023";"Internal Medicine (Q2); Endocrinology, Diabetes and Metabolism (Q3)";"Medicine"
2966;13844;"Documenta Ophthalmologica";journal;"15732622, 00124486";0,636;Q2;62;51;178;1413;391;167;2,64;27,71;46,31;0;5;Netherlands;Western Europe;"Springer Netherlands";"1938, 1948-1951, 1954-2023";"Ophthalmology (Q2); Physiology (medical) (Q3); Sensory Systems (Q3)";"Medicine; Neuroscience"
2967;20805;"Immunobiology";journal;"18783279, 01712985";0,636;Q2;107;128;322;7308;839;322;2,42;57,09;50,40;0;64;Germany;Western Europe;"Elsevier GmbH";"1979-2023";"Hematology (Q2); Immunology (Q3); Immunology and Allergy (Q3)";"Immunology and Microbiology; Medicine"
2968;21100784723;"Cardiovascular Diagnosis and Therapy";journal;"22233660, 22233652";0,635;Q2;42;91;429;3856;1035;399;2,06;42,37;32,60;0;37;China;Asiatic Region;"AME Publishing Company";"2016-2023";"Cardiology and Cardiovascular Medicine (Q2)";"Medicine"
2969;23205;"Expert Review of Cardiovascular Therapy";journal;"17448344, 14779072";0,635;Q2;61;94;287;7290;533;259;1,73;77,55;27,46;0;57;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2023";"Cardiology and Cardiovascular Medicine (Q2); Internal Medicine (Q2); Medicine (miscellaneous) (Q2)";"Medicine"
2970;13917;"Indian Journal of Ophthalmology";journal;"19983689, 03014738";0,635;Q2;73;866;3232;17609;4456;1928;1,29;20,33;49,29;0;133;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"1946-1947, 1971-2023";"Ophthalmology (Q2)";"Medicine"
2971;21101039875;"Journal of Alzheimer's Disease Reports";journal;"25424823";0,635;Q2;19;94;136;6440;341;136;2,50;68,51;47,85;0;15;Netherlands;Western Europe;"IOS Press BV";"2019-2023";"Clinical Psychology (Q2); Psychiatry and Mental Health (Q2); Geriatrics and Gerontology (Q3); Neuroscience (miscellaneous) (Q3)";"Medicine; Neuroscience; Psychology"
2972;21100415502;"Journal of Nutritional Science";journal;"20486790";0,635;Q3;38;125;271;4847;691;268;2,31;38,78;63,33;0;52;United Kingdom;Western Europe;"Cambridge University Press";"2012-2023";"Food Science (Q2); Nutrition and Dietetics (Q2); Endocrinology, Diabetes and Metabolism (Q3)";"Agricultural and Biological Sciences; Medicine; Nursing"
2973;82406;"Korean journal of ophthalmology : KJO";journal;"10118942";0,635;Q2;39;79;259;1892;325;173;1,15;23,95;35,35;0;8;South Korea;Asiatic Region;"Seoul Kjo";"1987-2017, 2020-2023";"Ophthalmology (Q2)";"Medicine"
2974;14745;"International Journal of Clinical Practice";journal;"17421241, 13685031";0,634;Q2;115;107;1818;3778;4147;1684;2,33;35,31;45,53;1;53;United Kingdom;Western Europe;"Hindawi Limited";"1997-2023";"Medicine (miscellaneous) (Q2)";"Medicine"
2975;21911;"Journal of Neurosurgical Anesthesiology";journal;"15371921, 08984921";0,634;Q2;71;78;226;1953;407;161;1,54;25,04;39,17;0;15;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1989-2023";"Anesthesiology and Pain Medicine (Q2); Surgery (Q2); Neurology (clinical) (Q3)";"Medicine"
2976;25908;"Clinical and Applied Thrombosis/Hemostasis";journal;"10760296, 19382723";0,633;Q2;63;165;531;5594;1277;488;2,21;33,90;40,83;1;101;United States;Northern America;"SAGE Publications Inc.";"1995-2023";"Hematology (Q2); Medicine (miscellaneous) (Q2)";"Medicine"
2977;4200151515;"Hormones";journal;"11093099, 25208721";0,633;Q2;57;92;249;3881;692;226;2,30;42,18;54,73;0;56;Germany;Western Europe;"Springer Verlag";"2005-2023";"Medicine (miscellaneous) (Q2); Endocrinology, Diabetes and Metabolism (Q3)";"Medicine"
2978;27226;"Journal of Clinical Laboratory Analysis";journal;"08878013, 10982825";0,633;Q2;60;162;1715;6041;4484;1702;2,64;37,29;45,75;0;86;United States;Northern America;"Wiley-Liss Inc.";"1987-2023";"Medical Laboratory Technology (Q1); Biochemistry (medical) (Q2); Clinical Biochemistry (Q2); Hematology (Q2); Microbiology (medical) (Q2); Public Health, Environmental and Occupational Health (Q2); Immunology and Allergy (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
2979;12427;"Melanoma Research";journal;"14735636, 09608931";0,633;Q2;80;69;249;2717;440;230;1,44;39,38;48,32;0;67;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1991-2023";"Dermatology (Q2); Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2980;21100847273;"Molecular genetics &amp; genomic medicine";journal;"23249269";0,633;Q3;42;173;977;5526;1825;959;1,65;31,94;50,04;0;48;United States;Northern America;"John Wiley &amp; Sons Inc.";"2013-2023";"Genetics (Q3); Genetics (clinical) (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2981;19545;"AIDS Education and Prevention";journal;"19432755, 08999546";0,632;Q2;80;44;111;1675;186;111;1,70;38,07;59,71;0;42;United States;Northern America;"Guilford Publications";"1989-2023";"Health (social science) (Q2); Infectious Diseases (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Social Sciences"
2982;130096;"Taiwanese Journal of Obstetrics and Gynecology";journal;"10284559, 18756263";0,632;Q2;46;197;702;3734;1212;591;1,62;18,95;49,91;0;63;Taiwan;Asiatic Region;"Elsevier Taiwan LLC";"2004-2023";"Obstetrics and Gynecology (Q2)";"Medicine"
2983;21100322088;"BMJ Supportive and Palliative Care";journal;"2045435X, 20454368";0,631;Q2;48;347;706;8792;1362;626;1,71;25,34;57,97;12;189;United Kingdom;Western Europe;"BMJ Publishing Group";"2011-2023";"Medical and Surgical Nursing (Q1); Medicine (miscellaneous) (Q2); Oncology (nursing) (Q2)";"Medicine; Nursing"
2984;26792;"Clinics in Laboratory Medicine";journal;"15579832, 02722712";0,631;Q2;65;51;157;2723;287;133;1,68;53,39;41,94;0;12;United States;Northern America;"W.B. Saunders";"1981-2023";"Biochemistry (medical) (Q2); Clinical Biochemistry (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2985;20190;"Allergy and Asthma Proceedings";journal;"15396304, 10885412";0,630;Q2;69;74;307;2312;663;276;2,28;31,24;50,16;0;36;United States;Northern America;"OceanSide Publications Inc.";"1996-2023";"Medicine (miscellaneous) (Q2); Pulmonary and Respiratory Medicine (Q2); Immunology and Allergy (Q3)";"Medicine"
2986;12547;"Australian and New Zealand Journal of Obstetrics and Gynaecology";journal;"1479828X, 00048666";0,630;Q2;76;162;491;3538;668;417;1,27;21,84;65,64;3;87;United States;Northern America;"Wiley-Blackwell";"1961-2023";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)";"Medicine"
2987;19710;"FEMS Yeast Research";journal;"15671364, 15671356";0,630;Q2;109;54;204;3277;587;198;2,50;60,69;46,22;0;15;United Kingdom;Western Europe;"Oxford University Press";"2001-2023";"Applied Microbiology and Biotechnology (Q2); Medicine (miscellaneous) (Q2); Microbiology (Q3)";"Immunology and Microbiology; Medicine"
2988;144622;"Medicina Oral, Patologia Oral y Cirugia Bucal";journal;"16986946, 16984447";0,630;Q2;72;79;292;1526;727;289;2,13;19,32;41,60;0;30;Spain;Western Europe;"Medicina Oral, Patologia Oral y Cirugia Bucal";"2004-2023";"Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Otorhinolaryngology (Q2); Surgery (Q2)";"Dentistry; Medicine"
2989;21100236604;"Neurology: Clinical Practice";journal;"21630402, 21630933";0,630;Q3;41;18;478;376;825;447;1,77;20,89;42,39;0;12;United States;Northern America;"Lippincott Williams and Wilkins";"2011-2023";"Neurology (clinical) (Q3)";"Medicine"
2990;16593;"Canadian Association of Radiologists Journal";journal;"08465371, 14882361";0,629;Q2;42;139;301;3475;649;218;2,09;25,00;42,26;1;45;Canada;Northern America;"Elsevier Inc.";"1969, 1973-2023";"Medicine (miscellaneous) (Q2); Radiology, Nuclear Medicine and Imaging (Q2)";"Medicine"
2991;21100932464;"Gates Open Research";journal;"25724754";0,629;Q2;22;31;185;1232;297;169;1,15;39,74;52,02;0;25;United States;Northern America;"F1000 Research Ltd";"2017-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Health Policy (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
2992;21100210905;"i-Perception";journal;"20416695";0,629;Q2;37;53;193;1953;416;192;2,33;36,85;32,56;0;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"2010-2023";"Ophthalmology (Q2); Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
2993;21101160578;"Life Metabolism";journal;"27550230, 20972555";0,629;Q2;5;46;35;1966;53;30;1,51;42,74;40,35;0;15;United Kingdom;Western Europe;"Oxford University Press";"2022-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Biochemistry (medical) (Q2); Cell Biology (Q3); Endocrinology, Diabetes and Metabolism (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2994;19006;"Psychiatric Genetics";journal;"14735873, 09558829";0,629;Q2;64;26;91;1685;186;87;1,53;64,81;45,74;0;4;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1990-2023";"Psychiatry and Mental Health (Q2); Biological Psychiatry (Q3); Genetics (Q3); Genetics (clinical) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
2995;21100242232;"Healthcare Informatics Research";journal;"2093369X, 20933681";0,628;Q3;41;44;133;1181;370;118;2,43;26,84;44,67;0;13;South Korea;Asiatic Region;"Korean Society of Medical Informatics";"2010-2023";"Biomedical Engineering (Q2); Health Informatics (Q3); Health Information Management (Q3)";"Engineering; Health Professions; Medicine"
2996;14018;"Human Movement Science";journal;"01679457, 18727646";0,628;Q2;104;96;312;4298;700;310;1,92;44,77;35,52;0;10;Netherlands;Western Europe;"Elsevier B.V.";"1982-2023";"Biophysics (Q2); Medicine (miscellaneous) (Q2); Orthopedics and Sports Medicine (Q2); Experimental and Cognitive Psychology (Q3); Sports Science (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Psychology"
2997;16723;"Journal of Intellectual and Developmental Disability";journal;"13668250, 14699532";0,628;Q2;65;58;115;2495;279;110;2,44;43,02;68,29;0;18;United Kingdom;Western Europe;"Informa Healthcare";"1970-2015, 2017-2023";"Arts and Humanities (miscellaneous) (Q1); Education (Q2); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2)";"Arts and Humanities; Medicine; Psychology; Social Sciences"
2998;19038;"Microcirculation";journal;"10739688, 15498719";0,628;Q2;93;37;156;2152;339;154;2,15;58,16;42,70;0;9;United States;Northern America;"Wiley-Blackwell";"1981-1982, 1994-2023";"Cardiology and Cardiovascular Medicine (Q2); Molecular Biology (Q3); Physiology (Q3); Physiology (medical) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2999;145237;"Przeglad Menopauzalny";journal;"16438876";0,628;Q2;28;42;116;1266;308;116;2,54;30,14;45,93;0;19;Poland;Eastern Europe;"Termedia Publishing House Ltd.";"2005-2023";"Obstetrics and Gynecology (Q2); Endocrinology, Diabetes and Metabolism (Q3)";"Medicine"
3000;21101140507;"Frontiers in Reproductive Health";journal;"26733153";0,627;Q1;11;142;236;6479;507;224;2,13;45,63;57,66;0;114;Switzerland;Western Europe;"Frontiers Media SA";"2020-2023";"Family Practice (Q1); Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2); Epidemiology (Q3)";"Medicine"
3001;13308;"Nutrition and Cancer";journal;"01635581, 15327914";0,627;Q2;130;141;787;7553;2249;777;2,47;53,57;49,07;0;133;United States;Northern America;"Routledge";"1978-2023";"Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2); Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
3002;29166;"Cells Tissues Organs";journal;"14226421, 14226405";0,626;Q2;90;55;122;3326;312;118;2,88;60,47;41,27;0;15;Switzerland;Western Europe;"S. Karger AG";"1889, 1945-1997, 1999-2023";"Anatomy (Q2); Histology (Q2)";"Medicine"
3003;21100262305;"Clinical Pharmacology in Drug Development";journal;"21607648, 2160763X";0,626;Q2;35;140;398;3021;753;385;1,86;21,58;43,93;0;25;United States;Northern America;"Wiley-Blackwell";"2012-2023";"Pharmaceutical Science (Q2); Pharmacology (medical) (Q2)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
3004;19678;"Diagnostic Microbiology and Infectious Disease";journal;"18790070, 07328893";0,626;Q2;105;161;594;4566;1238;564;2,09;28,36;51,88;2;75;United States;Northern America;"Elsevier Inc.";"1983-2024";"Infectious Diseases (Q2); Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)";"Medicine"
3005;17700;"QJM - Monthly Journal of the Association of Physicians";journal;"14602393, 14602725";0,626;Q2;133;294;921;2074;1613;450;1,27;7,05;35,88;2;114;United Kingdom;Western Europe;"Oxford University Press";"1907-1974, 1976-1982, 1985-2023";"Medicine (miscellaneous) (Q2)";"Medicine"
3006;20710;"DARU, Journal of Pharmaceutical Sciences";journal;"15608115, 20082231";0,625;Q2;58;43;149;2213;587;146;2,80;51,47;51,06;0;26;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2023";"Drug Discovery (Q2); Medicine (miscellaneous) (Q2); Pharmacology (Q2)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
3007;13338;"Health Care Analysis";journal;"15733394, 10653058";0,625;Q2;44;19;63;792;134;62;2,06;41,68;43,40;0;9;Netherlands;Western Europe;"Springer Netherlands";"1993-2023";"Health Policy (Q2); Health (social science) (Q2); Issues, Ethics and Legal Aspects (Q2)";"Medicine; Nursing; Social Sciences"
3008;21100217607;"International Journal of MS Care";journal;"15372073";0,625;Q3;34;44;144;1350;238;122;1,15;30,68;60,32;0;5;United States;Northern America;"Consortium of Multiple Sclerosis";"2012-2023";"Advanced and Specialized Nursing (Q1); Neurology (clinical) (Q3)";"Medicine; Nursing"
3009;23108;"Language and Speech";journal;"00238309, 17566053";0,625;Q2;63;65;129;4809;242;128;1,70;73,98;51,18;0;1;United States;Northern America;"SAGE Publications Inc.";"1958-2023";"Linguistics and Language (Q1); Sociology and Political Science (Q1); Medicine (miscellaneous) (Q2); Speech and Hearing (Q2)";"Health Professions; Medicine; Social Sciences"
3010;21101158943;"Osteoarthritis and Cartilage Open";journal;"26659131";0,625;Q2;13;67;229;3006;507;225;2,23;44,87;45,94;0;3;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2023";"Biomedical Engineering (Q2); Orthopedics and Sports Medicine (Q2); Rehabilitation (Q2)";"Engineering; Medicine"
3011;22304;"Surgeon";journal;"1479666X";0,625;Q2;65;121;310;3721;726;295;2,42;30,75;27,37;1;38;United Kingdom;Western Europe;"Elsevier Ltd";"2003-2023";"Surgery (Q2)";"Medicine"
3012;21101021571;"Intervention";journal;"15718883, 18721001";0,624;Q2;10;12;84;259;90;77;1,03;21,58;66,04;0;6;United States;Northern America;"Wolters Kluwer Medknow Publications";"2018-2023";"Clinical Psychology (Q2); Psychiatry and Mental Health (Q2); Social Psychology (Q2)";"Medicine; Psychology"
3013;21101039903;"Public Health in Practice";journal;"26665352";0,624;Q2;14;108;281;2813;502;226;1,75;26,05;53,86;1;73;Netherlands;Western Europe;"Elsevier B.V.";"2020-2023";"Health Policy (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine"
3014;17909;"Skeletal Radiology";journal;"03642348, 14322161";0,624;Q2;104;347;774;11462;1668;661;2,01;33,03;30,06;0;42;Germany;Western Europe;"Springer Verlag";"1976-2023";"Radiology, Nuclear Medicine and Imaging (Q2)";"Medicine"
3015;18735;"Accountability in Research";journal;"15455815, 08989621";0,623;Q2;38;113;117;4549;354;100;3,00;40,26;45,08;4;17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2023";"Library and Information Sciences (Q1); Education (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
3016;16467;"Kaohsiung Journal of Medical Sciences";journal;"1607551X";0,623;Q2;48;133;423;4032;1060;323;2,46;30,32;38,81;0;73;Singapore;Asiatic Region;"Elsevier (Singapore) Pte Ltd";"1996-2023";"Medicine (miscellaneous) (Q2)";"Medicine"
3017;21100239256;"PeerJ";journal;"21678359";0,623;Q2;110;2070;6300;122991;17062;6300;2,44;59,42;41,49;1;900;United States;Northern America;"PeerJ Inc.";"2013-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Neuroscience (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
3018;34645;"Skin Pharmacology and Physiology";journal;"16605527, 16605535";0,623;Q2;86;20;106;1053;277;105;2,89;52,65;47,06;0;3;Switzerland;Western Europe;"S. Karger AG";"1988-1997, 2004-2023";"Dermatology (Q2); Medicine (miscellaneous) (Q2); Pharmacology (Q2); Physiology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
3019;79036;"Pacific Symposium on Biocomputing";journal;"23356928, 23356936";0,622;Q2;79;54;150;1606;296;144;2,12;29,74;42,52;0;14;United States;Northern America;"World Scientific Publishing Co., Inc.";"1996-2023";"Biomedical Engineering (Q2); Computational Theory and Mathematics (Q2); Medicine (miscellaneous) (Q2)";"Computer Science; Engineering; Medicine"
3020;24785;"Alcohol";journal;"18736823, 07418329";0,621;Q2;88;70;227;4212;508;223;2,21;60,17;45,31;0;43;United States;Northern America;"Elsevier Inc.";"1984-2023";"Health (social science) (Q2); Medicine (miscellaneous) (Q2); Toxicology (Q2); Behavioral Neuroscience (Q3); Biochemistry (Q3); Neurology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
3021;17800156747;"Healthcare Policy";journal;"17156580, 17156572";0,621;Q2;30;48;118;1038;160;109;1,37;21,63;64,03;0;13;Canada;Northern America;"Longwoods Publishing Corp.";"2009-2023";"Health Policy (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine"
